Entry	Gene Names (primary)	Gene Names	Protein names	Reviewed
A0ACI8QRQ9	EPB41L1	EPB41L1	Erythrocyte membrane protein band 4.1 like 1	unreviewed
A0ACI8QRR3	COLEC12	COLEC12	Collectin subfamily member 12	unreviewed
A0ACI8QRR4	ABCG8	ABCG8	ATP binding cassette subfamily G member 8	unreviewed
A0ACI8QRR5	VPS36	VPS36	Vacuolar protein sorting 36 homolog	unreviewed
A0ACI8QRR6	USP5	USP5	Ubiquitin specific peptidase 5	unreviewed
A0ACI8QRR7	FNDC3B	FNDC3B	Fibronectin type III domain containing 3B	unreviewed
A0ACI8QRR8	SCEL	SCEL	Sciellin	unreviewed
A0ACI8QRR9	CSNK1D	CSNK1D	Casein kinase 1 delta	unreviewed
A0ACI8QRS0	DLST	DLST	Dihydrolipoamide S-succinyltransferase	unreviewed
A0ACI8QRS1	MS4A7	MS4A7	Membrane spanning 4-domains A7	unreviewed
A0ACI8QRS2	EXOC1	EXOC1	Exocyst complex component 1	unreviewed
A0ACI8QRS3	ZPR1	ZPR1	ZPR1 zinc finger	unreviewed
A0ACI8QRS6	TAX1BP1	TAX1BP1	Tax1 binding protein 1	unreviewed
A0ACI8QRS9	VPS45	VPS45	Vacuolar protein sorting 45 homolog	unreviewed
A0ACI8QRT0	TRAF2	TRAF2	TNF receptor associated factor 2	unreviewed
A0ACI8QRT1	MSRB2	MSRB2	Methionine sulfoxide reductase B2	unreviewed
A0ACI8QRT2	FCN3	FCN3	Ficolin 3	unreviewed
A0ACI8QRT3	ATP6V0D1	ATP6V0D1	ATPase H+ transporting V0 subunit d1	unreviewed
A0ACI8QRT4	RABL2B	RABL2B	RAB, member of RAS oncogene family like 2B	unreviewed
A0ACI8QRT5	SLC2A9	SLC2A9	Solute carrier family 2 member 9	unreviewed
A0ACI8QRT7	TCTN2	TCTN2	Tectonic family member 2	unreviewed
A0ACI8QRT8	FARSB	FARSB	Phenylalanyl-tRNA synthetase subunit beta	unreviewed
A0ACI8QRT9	PFKFB1	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	unreviewed
A0ACI8QRU0	SP140	SP140	SP140 nuclear body protein	unreviewed
A0ACI8QRU2	IDUA	IDUA	Alpha-L-iduronidase	unreviewed
A0ACI8QRU3	SCEL	SCEL	Sciellin	unreviewed
A0ACI8QRU4	EIF4ENIF1	EIF4ENIF1	Eukaryotic translation initiation factor 4E nuclear import factor 1	unreviewed
A0ACI8QRU5	PLA2G4F	PLA2G4F	Phospholipase A2 group IVF	unreviewed
A0ACI8QRU7	GTPBP6	GTPBP6	GTP binding protein 6 (putative)	unreviewed
A0ACI8QRU8	PFKFB3	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	unreviewed
A0ACI8QRU9	GLE1	GLE1	GLE1 RNA export mediator	unreviewed
A0ACI8QRV0	LRIG3	LRIG3	Leucine rich repeats and immunoglobulin like domains 3	unreviewed
A0ACI8QRV1	NT5C3B	NT5C3B	5'-nucleotidase, cytosolic IIIB	unreviewed
A0ACI8QRV2	DYNLT3	DYNLT3	Dynein light chain Tctex-type 3	unreviewed
A0ACI8QRV3	SPATA18	SPATA18	Spermatogenesis associated 18	unreviewed
A0ACI8QRV5	TMEM45B	TMEM45B	Transmembrane protein 45B	unreviewed
A0ACI8QRV6	OSER1	OSER1	Oxidative stress responsive serine rich 1	unreviewed
A0ACI8QRV7	HECTD3	HECTD3	HECT domain E3 ubiquitin protein ligase 3	unreviewed
A0ACI8QRV8	HDAC5	HDAC5	Histone deacetylase 5	unreviewed
A0ACI8QRV9	TRUB1	TRUB1	TruB pseudouridine synthase family member 1	unreviewed
A0ACI8QRW4	ERCC1	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	unreviewed
A0ACI8QRW5	RRP7A	RRP7A	Ribosomal RNA processing 7 homolog A	unreviewed
A0ACI8QRW6	EMILIN1	EMILIN1	Elastin microfibril interfacer 1	unreviewed
A0ACI8QRW7	SCEL	SCEL	Sciellin	unreviewed
A0ACI8QRW8	MLF2	MLF2	Myeloid leukemia factor 2	unreviewed
A0ACI8QRW9	HADHB	HADHB	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	unreviewed
A0ACI8QRX2	CCNT1	CCNT1	Cyclin T1	unreviewed
A0ACI8QRX3	PDSS2	PDSS2	Decaprenyl diphosphate synthase subunit 2	unreviewed
A0ACI8QRX4	PMPCB	PMPCB	Peptidase, mitochondrial processing subunit beta	unreviewed
A0ACI8QRX5	MOB3B	MOB3B	MOB kinase activator 3B	unreviewed
A0ACI8QRX6	ZNF681	ZNF681	Zinc finger protein 681	unreviewed
A0ACI8QRX7	DOK3	DOK3	Docking protein 3	unreviewed
A0ACI8QRX8	FCSK	FCSK	Fucose kinase	unreviewed
A0ACI8QRX9	UROC1	UROC1	Urocanate hydratase 1	unreviewed
A0ACI8QRY2	CLK1	CLK1	CDC like kinase 1	unreviewed
A0ACI8QRY3	LIN52	LIN52	Lin-52 DREAM MuvB core complex component	unreviewed
A0ACI8QRY4	FXYD7	FXYD7	FXYD domain containing ion transport regulator 7	unreviewed
A0ACI8QRY6	ALDH1A1	ALDH1A1	Aldehyde dehydrogenase 1 family member A1	unreviewed
A0ACI8QRZ0	HMBOX1	HMBOX1	Homeobox containing 1	unreviewed
A0ACI8QRZ1	GDI2	GDI2	GDP dissociation inhibitor 2	unreviewed
A0ACI8QRZ4	TRUB1	TRUB1	TruB pseudouridine synthase family member 1	unreviewed
A0ACI8QRZ5	WWP1	WWP1	WW domain containing E3 ubiquitin protein ligase 1	unreviewed
A0ACI8QRZ6	CYP46A1	CYP46A1	Cytochrome P450 family 46 subfamily A member 1	unreviewed
A0ACI8QRZ7	MPST	MPST	Mercaptopyruvate sulfurtransferase	unreviewed
A0ACI8QRZ8	FERMT2	FERMT2	FERM domain containing kindlin 2	unreviewed
A0ACI8QS00	NFYC	NFYC	Nuclear transcription factor Y subunit gamma	unreviewed
A0ACI8QS01	REPS2	REPS2	RALBP1 associated Eps domain containing 2	unreviewed
A0ACI8QS02	TXNDC12	TXNDC12	Thioredoxin domain containing 12	unreviewed
A0ACI8QS03	OXCT1	OXCT1	3-oxoacid CoA-transferase 1	unreviewed
A0ACI8QS06	PHACTR2	PHACTR2	Phosphatase and actin regulator 2	unreviewed
A0ACI8QS07	DCTN1	DCTN1	Dynactin subunit 1	unreviewed
A0ACI8QS08	TSTD2	TSTD2	Thiosulfate sulfurtransferase like domain containing 2	unreviewed
A0ACI8QS09	P2RX4	P2RX4	Purinergic receptor P2X 4	unreviewed
A0ACI8QS10	SLC27A4	SLC27A4	Solute carrier family 27 member 4	unreviewed
A0ACI8QS11	CFI	CFI	Complement factor I	unreviewed
A0ACI8QS12	CKMT2	CKMT2	Creatine kinase, mitochondrial 2	unreviewed
A0ACI8QS13	CUL2	CUL2	Cullin 2	unreviewed
A0ACI8QS14	MCOLN1	MCOLN1	Mucolipin TRP cation channel 1	unreviewed
A0ACI8QS15	TERF1	TERF1	Telomeric repeat binding factor 1	unreviewed
A0ACI8QS16	TRAP1	TRAP1	TNF receptor associated protein 1	unreviewed
A0ACI8QS17	DDX24	DDX24	DEAD-box helicase 24	unreviewed
A0ACI8QS19	SLC39A8	SLC39A8	Solute carrier family 39 member 8	unreviewed
A0ACI8QS24	SORBS2	SORBS2	Sorbin and SH3 domain containing 2	unreviewed
A0ACI8QS25	DEF6	DEF6	DEF6 guanine nucleotide exchange factor	unreviewed
A0ACI8QS26	SLC44A4	SLC44A4	Solute carrier family 44 member 4	unreviewed
A0ACI8QS28	ITIH2	ITIH2	Inter-alpha-trypsin inhibitor heavy chain 2	unreviewed
A0ACI8QS29	EBPL	EBPL	EBP like	unreviewed
A0ACI8QS30	SENP6	SENP6	SUMO specific peptidase 6	unreviewed
A0ACI8QS32	DDX24	DDX24	DEAD-box helicase 24	unreviewed
A0ACI8QS34	CRYZ	CRYZ	Crystallin zeta	unreviewed
A0ACI8QS35	DCXR	DCXR	Dicarbonyl and L-xylulose reductase	unreviewed
A0ACI8QS37	FAM20A	FAM20A	FAM20A golgi associated secretory pathway pseudokinase	unreviewed
A0ACI8QS38	ACTR6	ACTR6	Actin related protein 6	unreviewed
A0ACI8QS39	TMOD1	TMOD1	Tropomodulin 1	unreviewed
A0ACI8QS40	SGSM1	SGSM1	Small G protein signaling modulator 1	unreviewed
A0ACI8QS41	CASTOR1	CASTOR1	Cytosolic arginine sensor for mTORC1 subunit 1	unreviewed
A0ACI8QS42	LMF2	LMF2	Lipase maturation factor 2	unreviewed
A0ACI8QS43	ACVR1B	ACVR1B	Activin A receptor type 1B	unreviewed
A0ACI8QS46	AQR	AQR	Aquarius intron-binding spliceosomal factor	unreviewed
A0ACI8QS48	SMARCA1	SMARCA1	SNF2 related chromatin remodeling ATPase 1	unreviewed
A0ACI8QS49	RELCH	RELCH	RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing	unreviewed
A0ACI8QS50	INTS15	INTS15	Integrator complex subunit 15	unreviewed
A0ACI8QS53	OGT	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	unreviewed
A0ACI8QS55	TSFM	TSFM	Ts translation elongation factor, mitochondrial	unreviewed
A0ACI8QS56	DDX54	DDX54	DEAD-box helicase 54	unreviewed
A0ACI8QS57	TSPAN7	TSPAN7	Tetraspanin 7	unreviewed
A0ACI8QS59	TRAPPC10	TRAPPC10	Trafficking protein particle complex subunit 10	unreviewed
A0ACI8QS60	ACVR1B	ACVR1B	Activin A receptor type 1B	unreviewed
A0ACI8QS61	RANBP3	RANBP3	RAN binding protein 3	unreviewed
A0ACI8QS62	CHAF1A	CHAF1A	Chromatin assembly factor 1 subunit A	unreviewed
A0ACI8QS64	TAF9B	TAF9B	TATA-box binding protein associated factor 9b	unreviewed
A0ACI8QS65	LRRFIP2	LRRFIP2	LRR binding FLII interacting protein 2	unreviewed
A0ACI8QS66	OS9	OS9	OS9 endoplasmic reticulum lectin	unreviewed
A0ACI8QS67	ABI3BP	ABI3BP	ABI family member 3 binding protein	unreviewed
A0ACI8QS68	SLC25A44	SLC25A44	Solute carrier family 25 member 44	unreviewed
A0ACI8QS69	PMM2	PMM2	Phosphomannomutase 2	unreviewed
A0ACI8QS70	SETD6	SETD6	SET domain containing 6, protein lysine methyltransferase	unreviewed
A0ACI8QS71	RCSD1	RCSD1	RCSD domain containing 1	unreviewed
A0ACI8QS72	LMBRD1	LMBRD1	LMBR1 domain containing 1	unreviewed
A0ACI8QS75	ADSL	ADSL	Adenylosuccinate lyase	unreviewed
A0ACI8QS76	HSD17B12	HSD17B12	Hydroxysteroid 17-beta dehydrogenase 12	unreviewed
A0ACI8QS78	GAB3	GAB3	GRB2 associated binding protein 3	unreviewed
A0ACI8QS79	LETMD1	LETMD1	LETM1 domain containing 1	unreviewed
A0ACI8QS81	IL13RA1	IL13RA1	Interleukin 13 receptor subunit alpha 1	unreviewed
A0ACI8QS82	ASH2L	ASH2L	ASH2 like, histone lysine methyltransferase complex subunit	unreviewed
A0ACI8QS83	CORO7	CORO7	Coronin 7	unreviewed
A0ACI8QS84	PRELID3B	PRELID3B	PRELI domain containing 3B	unreviewed
A0ACI8QS85	CSPG4	CSPG4	Chondroitin sulfate proteoglycan 4	unreviewed
A0ACI8QS86	FKBP9	FKBP9	FKBP prolyl isomerase 9	unreviewed
A0ACI8QS87	CRPPA	CRPPA	CDP-L-ribitol pyrophosphorylase A	unreviewed
A0ACI8QS88	LRRFIP2	LRRFIP2	LRR binding FLII interacting protein 2	unreviewed
A0ACI8QS89	RGCC	RGCC	Regulator of cell cycle	unreviewed
A0ACI8QS90	SLC38A10	SLC38A10	Solute carrier family 38 member 10	unreviewed
A0ACI8QS91	ABI3BP	ABI3BP	ABI family member 3 binding protein	unreviewed
A0ACI8QS92	ACTR1A	ACTR1A	Actin related protein 1A	unreviewed
A0ACI8QS93	NIT1	NIT1	Nitrilase 1	unreviewed
A0ACI8QS94	VIPR1	VIPR1	Vasoactive intestinal peptide receptor 1	unreviewed
A0ACI8QS95	TSPYL2	TSPYL2	TSPY like 2	unreviewed
A0ACI8QS98	PAF1	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component	unreviewed
A0ACI8QS99	BTN3A2	BTN3A2	Butyrophilin subfamily 3 member A2	unreviewed
A0ACI8QSA0	RAD23A	RAD23A	RAD23 homolog A, nucleotide excision repair protein	unreviewed
A0ACI8QSA2	ZNF185	ZNF185	Zinc finger protein 185 with LIM domain	unreviewed
A0ACI8QSA3	BPIFB1	BPIFB1	BPI fold containing family B member 1	unreviewed
A0ACI8QSA4	TCTN3	TCTN3	Tectonic family member 3	unreviewed
A0ACI8QSA6	PC	PC	Pyruvate carboxylase	unreviewed
A0ACI8QSA7	APOO	APOO	Apolipoprotein O	unreviewed
A0ACI8QSA8	CYP4A22	CYP4A22	Cytochrome P450 family 4 subfamily A member 22	unreviewed
A0ACI8QSA9	ASS1	ASS1	Argininosuccinate synthase 1	unreviewed
A0ACI8QSB0	PEMT	PEMT	Phosphatidylethanolamine N-methyltransferase	unreviewed
A0ACI8QSB1	LARP1B	LARP1B	La ribonucleoprotein 1B	unreviewed
A0ACI8QSB2	ZC3H14	ZC3H14	Zinc finger CCCH-type containing 14	unreviewed
A0ACI8QSB4	HACL1	HACL1	2-hydroxyacyl-CoA lyase 1	unreviewed
A0ACI8QSB6	FGD5	FGD5	FYVE, RhoGEF and PH domain containing 5	unreviewed
A0ACI8QSB7	RXRB	RXRB	Retinoid X receptor beta	unreviewed
A0ACI8QSB8	SLC12A9	SLC12A9	Solute carrier family 12 member 9	unreviewed
A0ACI8QSB9	EYA4	EYA4	EYA transcriptional coactivator and phosphatase 4	unreviewed
A0ACI8QSC0	PCYT1A	PCYT1A	Phosphate cytidylyltransferase 1A, choline	unreviewed
A0ACI8QSC3	SLC26A3	SLC26A3	Solute carrier family 26 member 3	unreviewed
A0ACI8QSC5	CPB2	CPB2	Carboxypeptidase B2	unreviewed
A0ACI8QSC7	LRRFIP2	LRRFIP2	LRR binding FLII interacting protein 2	unreviewed
A0ACI8QSC8	NDUFV2	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	unreviewed
A0ACI8QSD0	ANAPC2	ANAPC2	Anaphase promoting complex subunit 2	unreviewed
A0ACI8QSD1	MS4A7	MS4A7	Membrane spanning 4-domains A7	unreviewed
A0ACI8QSD2	CHCHD3	CHCHD3	Coiled-coil-helix-coiled-coil-helix domain containing 3	unreviewed
A0ACI8QSD3	NIBAN1	NIBAN1	Niban apoptosis regulator 1	unreviewed
A0ACI8QSD4	CAPZB	CAPZB	Capping actin protein of muscle Z-line subunit beta	unreviewed
A0ACI8QSD5	NPC1L1	NPC1L1	NPC1 like intracellular cholesterol transporter 1	unreviewed
A0ACI8QSD8	DHRS4	DHRS4	Dehydrogenase/reductase 4	unreviewed
A0ACI8QSD9	PCSK7	PCSK7	Proprotein convertase subtilisin/kexin type 7	unreviewed
A0ACI8QSE1	PPFIBP1	PPFIBP1	PPFIA binding protein 1	unreviewed
A0ACI8QSE4	AMDHD2	AMDHD2	Amidohydrolase domain containing 2	unreviewed
A0ACI8QSE7	CCNH	CCNH	Cyclin H	unreviewed
A0ACI8QSE8	MNT	MNT	MAX network transcriptional repressor	unreviewed
A0ACI8QSE9	RAF1	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	unreviewed
A0ACI8QSF0	GGH	GGH	Gamma-glutamyl hydrolase	unreviewed
A0ACI8QSF1	AK7	AK7	Adenylate kinase 7	unreviewed
A0ACI8QSF2	VIPR2	VIPR2	Vasoactive intestinal peptide receptor 2	unreviewed
A0ACI8QSF3	ZW10	ZW10	Zw10 kinetochore protein	unreviewed
A0ACI8QSF6	KTN1	KTN1	Kinectin 1	unreviewed
A0ACI8QSF8	TAF15	TAF15	TATA-box binding protein associated factor 15	unreviewed
A0ACI8QSF9	CLSTN1	CLSTN1	Calsyntenin 1	unreviewed
A0ACI8QSG1	ATP9B	ATP9B	ATPase phospholipid transporting 9B (putative)	unreviewed
A0ACI8QSG3	CPSF4	CPSF4	Cleavage and polyadenylation specific factor 4	unreviewed
A0ACI8QSG4	PUM1	PUM1	Pumilio RNA binding family member 1	unreviewed
A0ACI8QSG5	BAG6	BAG6	BAG cochaperone 6	unreviewed
A0ACI8QSG6	DAZAP1	DAZAP1	DAZ associated protein 1	unreviewed
A0ACI8QSH0	FLYWCH2	FLYWCH2	FLYWCH family member 2	unreviewed
A0ACI8QSH1	ALKBH3	ALKBH3	AlkB homolog 3, alpha-ketoglutarate dependent dioxygenase	unreviewed
A0ACI8QSH2	PTPN3	PTPN3	Protein tyrosine phosphatase non-receptor type 3	unreviewed
A0ACI8QSH3	HAL	HAL	Histidine ammonia-lyase	unreviewed
A0ACI8QSH6	RPN2	RPN2	Ribophorin II	unreviewed
A0ACI8QSH9	LRRFIP2	LRRFIP2	LRR binding FLII interacting protein 2	unreviewed
A0ACI8QSI0	RDH11	RDH11	Retinol dehydrogenase 11	unreviewed
A0ACI8QSI4	TTC23	TTC23	Tetratricopeptide repeat domain 23	unreviewed
A0ACI8QSI5	BAG6	BAG6	BAG cochaperone 6	unreviewed
A0ACI8QSI8	ABCB4	ABCB4	ATP binding cassette subfamily B member 4	unreviewed
A0ACI8QSI9	SEC14L4	SEC14L4	SEC14 like lipid binding 4	unreviewed
A0ACI8QSJ0	MTHFD1	MTHFD1	Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	unreviewed
A0ACI8QSJ1	VPS52	VPS52	VPS52 subunit of GARP complex	unreviewed
A0ACI8QSJ2	LPIN1	LPIN1	Lipin 1	unreviewed
A0ACI8QSJ5	PIAS1	PIAS1	Protein inhibitor of activated STAT 1	unreviewed
A0ACI8QSJ6	FCGRT	FCGRT	Fc gamma receptor and transporter	unreviewed
A0ACI8QSJ7	CBLB	CBLB	Cbl proto-oncogene B	unreviewed
A0ACI8QSJ9	HRG	HRG	Histidine rich glycoprotein	unreviewed
A0ACI8QSK0	LRRFIP2	LRRFIP2	LRR binding FLII interacting protein 2	unreviewed
A0ACI8QSK1	PSMD12	PSMD12	Proteasome 26S subunit, non-ATPase 12	unreviewed
A0ACI8QSK3	AQP9	AQP9	Aquaporin 9	unreviewed
A0ACI8QSK5	HGFAC	HGFAC	HGF activator	unreviewed
A0ACI8QSK6	PUM1	PUM1	Pumilio RNA binding family member 1	unreviewed
A0ACI8QSK7	MINDY4	MINDY4	MINDY lysine 48 deubiquitinase 4	unreviewed
A0ACI8QSL0	DHX58	DHX58	DExH-box helicase 58	unreviewed
A0ACI8QSL1	PSEN2	PSEN2	Presenilin 2	unreviewed
A0ACI8QSL4	ASCC2	ASCC2	Activating signal cointegrator 1 complex subunit 2	unreviewed
A0ACI8QSL5	PSMD5	PSMD5	Proteasome 26S subunit, non-ATPase 5	unreviewed
A0ACI8QSL6	HLA-DOA	HLA-DOA	Major histocompatibility complex, class II, DO alpha	unreviewed
A0ACI8QSL7	ANXA9	ANXA9	Annexin A9	unreviewed
A0ACI8QSL8	ITIH2	ITIH2	Inter-alpha-trypsin inhibitor heavy chain 2	unreviewed
A0ACI8QSM0	EMILIN1	EMILIN1	Elastin microfibril interfacer 1	unreviewed
A0ACI8QSM1	ADGRF5	ADGRF5	Adhesion G protein-coupled receptor F5	unreviewed
A0ACI8QSM2	TM9SF4	TM9SF4	Transmembrane 9 superfamily member 4	unreviewed
A0ACI8QSM3	USP47	USP47	Ubiquitin specific peptidase 47	unreviewed
A0ACI8QSM4	LETM1	LETM1	Leucine zipper and EF-hand containing transmembrane protein 1	unreviewed
A0ACI8QSM5	ENOX2	ENOX2	Ecto-NOX disulfide-thiol exchanger 2	unreviewed
A0ACI8QSM6	MROH1	MROH1	Maestro heat like repeat family member 1	unreviewed
A0ACI8QSN0	RFX5	RFX5	Regulatory factor X5	unreviewed
A0ACI8QSN1	NFYC	NFYC	Nuclear transcription factor Y subunit gamma	unreviewed
A0ACI8QSN3	MED24	MED24	Mediator complex subunit 24	unreviewed
A0ACI8QSN4	GBGT1	GBGT1	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)	unreviewed
A0ACI8QSN5	GBGT1	GBGT1	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)	unreviewed
A0ACI8QSN6	TRDMT1	TRDMT1	tRNA aspartic acid methyltransferase 1	unreviewed
A0ACI8QSN8	ZNF385A	ZNF385A	Zinc finger protein 385A	unreviewed
A0ACI8QSN9	CD302	CD302	CD302 molecule	unreviewed
A0ACI8QSP0	MAPK15	MAPK15	Mitogen-activated protein kinase 15	unreviewed
A0ACI8QSP1	EPS8L3	EPS8L3	EPS8 signaling adaptor L3	unreviewed
A0ACI8QSP2	TIAL1	TIAL1	TIA1 cytotoxic granule associated RNA binding protein like 1	unreviewed
A0ACI8QSP3	OGT	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	unreviewed
A0ACI8QSP6	EHMT2	EHMT2	Euchromatic histone lysine methyltransferase 2	unreviewed
A0ACI8QSP7	PHYHD1	PHYHD1	Phytanoyl-CoA dioxygenase domain containing 1	unreviewed
A0ACI8QSP8	RPA2	RPA2	Replication protein A2	unreviewed
A0ACI8QSQ2	KTN1	KTN1	Kinectin 1	unreviewed
A0ACI8QSQ3	KDM3A	KDM3A	Lysine demethylase 3A	unreviewed
A0ACI8QSQ6	ACTR10	ACTR10	Actin related protein 10	unreviewed
A0ACI8QSQ7	MYB	MYB	MYB proto-oncogene, transcription factor	unreviewed
A0ACI8QSQ9	TCTN1	TCTN1	Tectonic family member 1	unreviewed
A0ACI8QSR0	ELAC2	ELAC2	ElaC ribonuclease Z 2	unreviewed
A0ACI8QSR2	PARM1	PARM1	Prostate androgen-regulated mucin-like protein 1	unreviewed
A0ACI8QSR3	SCRN1	SCRN1	Secernin 1	unreviewed
A0ACI8QSR5	AP5Z1	AP5Z1	Adaptor related protein complex 5 subunit zeta 1	unreviewed
A0ACI8QSR7	ASPH	ASPH	Aspartate beta-hydroxylase	unreviewed
A0ACI8QSR8	ALDH1L1	ALDH1L1	Aldehyde dehydrogenase 1 family member L1	unreviewed
A0ACI8QSS0	GSN	GSN	Gelsolin	unreviewed
A0ACI8QSS1	ZNG1B	ZNG1B	Zn regulated GTPase metalloprotein activator 1B	unreviewed
A0ACI8QSS2	STAM	STAM	Signal transducing adaptor molecule	unreviewed
A0ACI8QSS3	METTL14	METTL14	Methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit	unreviewed
A0ACI8QSS4	AACS	AACS	Acetoacetyl-CoA synthetase	unreviewed
A0ACI8QSS9	TPPP	TPPP	Tubulin polymerization promoting protein	unreviewed
A0ACI8QST0	SPATA20	SPATA20	Spermatogenesis associated 20	unreviewed
A0ACI8QST1	LGR5	LGR5	Leucine rich repeat containing G protein-coupled receptor 5	unreviewed
A0ACI8QST3	HBA1	HBA1 HBA2	Hemoglobin subunit alpha 1 (Hemoglobin subunit alpha 2)	unreviewed
A0ACI8QST4	HNRNPR	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	unreviewed
A0ACI8QST5	GLYR1	GLYR1	Glyoxylate reductase 1 homolog	unreviewed
A0ACI8QST7	PICK1	PICK1	Protein interacting with PRKCA 1	unreviewed
A0ACI8QST8	ACOX2	ACOX2	Acyl-CoA oxidase 2	unreviewed
A0ACI8QST9	ASPH	ASPH	Aspartate beta-hydroxylase	unreviewed
A0ACI8QSU0	TMEM192	TMEM192	Transmembrane protein 192	unreviewed
A0ACI8QSU1	CDC123	CDC123	Cell division cycle 123	unreviewed
A0ACI8QSU2	CYP2D6	CYP2D6	Cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene)	unreviewed
A0ACI8QSU6	VPS26C	VPS26C	VPS26 endosomal protein sorting factor C	unreviewed
A0ACI8QSU8	NRAP	NRAP	Nebulin related anchoring protein	unreviewed
A0ACI8QSV2	CYB5R4	CYB5R4	Cytochrome b5 reductase 4	unreviewed
A0ACI8QSV3	CYP3A5	CYP3A5	Cytochrome P450 family 3 subfamily A member 5	unreviewed
A0ACI8QSV4	ERCC1	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	unreviewed
A0ACI8QSV5	NIBAN1	NIBAN1	Niban apoptosis regulator 1	unreviewed
A0ACI8QSV6	ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	unreviewed
A0ACI8QSV7	XRCC6	XRCC6	X-ray repair cross complementing 6	unreviewed
A0ACI8QSV8	CWH43	CWH43	Cell wall biogenesis 43 C-terminal homolog	unreviewed
A0ACI8QSV9	SIKE1	SIKE1	Suppressor of IKBKE 1	unreviewed
A0ACI8QSW0	NAPSA	NAPSA	Napsin A aspartic peptidase	unreviewed
A0ACI8QSW2	ALB	ALB	Albumin	unreviewed
A0ACI8QSW3	SORBS2	SORBS2	Sorbin and SH3 domain containing 2	unreviewed
A0ACI8QSW5	GRIPAP1	GRIPAP1	GRIP1 associated protein 1	unreviewed
A0ACI8QSW7	GRIPAP1	GRIPAP1	GRIP1 associated protein 1	unreviewed
A0ACI8QSW8	PAFAH2	PAFAH2	Platelet activating factor acetylhydrolase 2	unreviewed
A0ACI8QSW9	RANBP3L	RANBP3L	RAN binding protein 3 like	unreviewed
A0ACI8QSX0	CYFIP2	CYFIP2	Cytoplasmic FMR1 interacting protein 2	unreviewed
A0ACI8QSX1	USP39	USP39	Ubiquitin specific peptidase 39	unreviewed
A0ACI8QSX2	SNX6	SNX6	Sorting nexin 6	unreviewed
A0ACI8QSX3	OGDHL	OGDHL	Oxoglutarate dehydrogenase L	unreviewed
A0ACI8QSX6	SLC30A9	SLC30A9	Solute carrier family 30 member 9	unreviewed
A0ACI8QSX9	DPP8	DPP8	Dipeptidyl peptidase 8	unreviewed
A0ACI8QSY0	LCMT1	LCMT1	Leucine carboxyl methyltransferase 1	unreviewed
A0ACI8QSY1	TMBIM6	TMBIM6	Transmembrane BAX inhibitor motif containing 6	unreviewed
A0ACI8QSY2	ADD1	ADD1	Adducin 1	unreviewed
A0ACI8QSY3	ENTPD5	ENTPD5	Ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	unreviewed
A0ACI8QSY5	RABEPK	RABEPK	Rab9 effector protein with kelch motifs	unreviewed
A0ACI8QSY6	SORBS2	SORBS2	Sorbin and SH3 domain containing 2	unreviewed
A0ACI8QSY7	CFH	CFH	Complement factor H	unreviewed
A0ACI8QSY8	MEF2A	MEF2A	Myocyte enhancer factor 2A	unreviewed
A0ACI8QSY9	ATP9B	ATP9B	ATPase phospholipid transporting 9B (putative)	unreviewed
A0ACI8QSZ1	PI4KB	PI4KB	Phosphatidylinositol 4-kinase beta	unreviewed
A0ACI8QSZ6	DLL1	DLL1	Delta like canonical Notch ligand 1	unreviewed
A0ACI8QSZ7	PARP15	PARP15	Poly(ADP-ribose) polymerase family member 15	unreviewed
A0ACI8QSZ8	SCYL1	SCYL1	SCY1 like pseudokinase 1	unreviewed
A0ACI8QSZ9	SERPINB6	SERPINB6	Serpin family B member 6	unreviewed
A0ACI8QT00	IFFO1	IFFO1	Intermediate filament family orphan 1	unreviewed
A0ACI8QT01	RTN4IP1	RTN4IP1	Reticulon 4 interacting protein 1	unreviewed
A0ACI8QT02	ALDH1L1	ALDH1L1	Aldehyde dehydrogenase 1 family member L1	unreviewed
A0ACI8QT03	COX7A2	COX7A2	Cytochrome c oxidase subunit 7A2	unreviewed
A0ACI8QT04	NUB1	NUB1	Negative regulator of ubiquitin like proteins 1	unreviewed
A0ACI8QT05	FKBP15	FKBP15	FKBP prolyl isomerase family member 15	unreviewed
